record_id,model,config,config_label,prompt,temperature,top_p,repeat_penalty,num_predict_used,num_ctx_used,tokens_generated,done_reason,tokens_per_sec,char_count,word_count,sentence_count,paragraph_count,unique_words,ttr,herdan_c,avg_sentence_len,std_sentence_len,avg_word_len,avg_para_len,discourse_markers,discourse_per_100w,lexical_density,long_sentences_pct,short_sentences_pct,repeat_word_pct,txt_file
gemma4:e4b__std__prompt_standard,gemma4:e4b,std,Standard,prompt_standard,0.9,0.95,1.0,96000,65536,13249,stop,167.78,62194,8541,483,235,2241,0.2624,0.8522,17.63,13.21,5.67,2.38,18,0.21,0.7061,12.42,16.98,19.77,generated_texts/gemma4-e4b__std__prompt_standard.txt
gemma4:e4b__std__prompt_maxlength,gemma4:e4b,std,Standard,prompt_maxlength,0.9,0.95,1.0,96000,65536,6592,stop,152.25,35190,4874,216,119,1675,0.3437,0.8742,22.5,10.9,5.87,2.13,10,0.21,0.6937,19.44,0.93,15.22,generated_texts/gemma4-e4b__std__prompt_maxlength.txt
gemma4:e4b__std__prompt_detailed,gemma4:e4b,std,Standard,prompt_detailed,0.9,0.95,1.0,96000,65536,14431,stop,161.7,62628,8657,520,228,2097,0.2422,0.8436,16.57,12.97,5.43,2.64,12,0.14,0.7062,11.15,18.46,22.41,generated_texts/gemma4-e4b__std__prompt_detailed.txt
gemma4:e4b__creative__prompt_standard,gemma4:e4b,creative,Creative,prompt_standard,1.1,0.98,1.0,96000,65536,10599,stop,166.5,56403,7602,399,162,2258,0.297,0.8642,19.02,10.75,6.02,2.7,23,0.3,0.6943,15.54,9.27,17.63,generated_texts/gemma4-e4b__creative__prompt_standard.txt
gemma4:e4b__creative__prompt_maxlength,gemma4:e4b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,96000,65536,4427,stop,156.23,25017,3417,148,73,1320,0.3863,0.8831,23.08,10.49,6.04,2.4,16,0.47,0.6877,22.3,0.68,12.27,generated_texts/gemma4-e4b__creative__prompt_maxlength.txt
gemma4:e4b__creative__prompt_detailed,gemma4:e4b,creative,Creative,prompt_detailed,1.1,0.98,1.0,96000,65536,8522,stop,169.45,43932,5894,271,128,2000,0.3393,0.8755,21.72,14.04,5.99,2.39,17,0.29,0.7056,22.14,8.49,15.0,generated_texts/gemma4-e4b__creative__prompt_detailed.txt
gemma4:e4b__precise__prompt_standard,gemma4:e4b,precise,Precise,prompt_standard,0.7,0.9,1.05,96000,65536,12797,stop,161.11,59040,8126,465,213,2014,0.2478,0.8451,17.41,13.66,5.63,2.46,16,0.2,0.6985,12.04,16.34,21.9,generated_texts/gemma4-e4b__precise__prompt_standard.txt
gemma4:e4b__precise__prompt_maxlength,gemma4:e4b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,96000,65536,9071,stop,157.21,45376,6333,295,126,1746,0.2757,0.8528,21.41,10.8,5.71,2.63,15,0.24,0.6971,15.93,3.73,19.53,generated_texts/gemma4-e4b__precise__prompt_maxlength.txt
gemma4:e4b__precise__prompt_detailed,gemma4:e4b,precise,Precise,prompt_detailed,0.7,0.9,1.05,96000,65536,14940,stop,163.32,64214,8830,550,289,2043,0.2314,0.8389,15.96,14.46,5.46,2.28,9,0.1,0.7095,10.18,22.0,22.42,generated_texts/gemma4-e4b__precise__prompt_detailed.txt
gemma3:12b__std__prompt_standard,gemma3:12b,std,Standard,prompt_standard,0.9,0.95,1.0,40000,32768,1563,stop,127.84,8373,1156,48,12,526,0.455,0.8884,24.08,8.58,5.9,4.5,5,0.43,0.6678,20.83,2.08,8.75,generated_texts/gemma3-12b__std__prompt_standard.txt
gemma3:12b__std__prompt_maxlength,gemma3:12b,std,Standard,prompt_maxlength,0.9,0.95,1.0,40000,32768,6563,stop,124.51,36579,5039,241,83,1419,0.2816,0.8513,20.9,8.5,5.98,3.16,15,0.3,0.6936,10.79,0.41,18.6,generated_texts/gemma3-12b__std__prompt_maxlength.txt
gemma3:12b__std__prompt_detailed,gemma3:12b,std,Standard,prompt_detailed,0.9,0.95,1.0,40000,32768,2263,stop,126.02,10519,1446,82,17,613,0.4239,0.8821,17.63,9.41,5.69,5.18,4,0.28,0.6916,10.98,9.76,11.91,generated_texts/gemma3-12b__std__prompt_detailed.txt
gemma3:12b__creative__prompt_standard,gemma3:12b,creative,Creative,prompt_standard,1.1,0.98,1.0,50000,32768,1696,stop,126.47,9640,1316,62,16,697,0.5296,0.9115,21.23,8.61,6.06,4.12,6,0.46,0.6611,11.29,1.61,6.6,generated_texts/gemma3-12b__creative__prompt_standard.txt
gemma3:12b__creative__prompt_maxlength,gemma3:12b,creative,Creative,prompt_maxlength,1.1,0.98,1.0,50000,32768,5853,stop,124.87,34665,4634,213,53,1536,0.3315,0.8692,21.76,8.58,6.29,4.19,16,0.35,0.7098,15.49,0.94,15.17,generated_texts/gemma3-12b__creative__prompt_maxlength.txt
gemma3:12b__creative__prompt_detailed,gemma3:12b,creative,Creative,prompt_detailed,1.1,0.98,1.0,50000,32768,7004,stop,124.07,37228,4965,282,127,1697,0.3418,0.8739,17.61,7.23,6.09,2.66,16,0.32,0.7102,5.32,1.77,14.5,generated_texts/gemma3-12b__creative__prompt_detailed.txt
gemma3:12b__precise__prompt_standard,gemma3:12b,precise,Precise,prompt_standard,0.7,0.9,1.05,35000,32768,1403,stop,126.17,7370,1003,48,15,496,0.4945,0.8981,20.9,7.71,5.96,3.53,5,0.5,0.6839,14.58,0.0,8.06,generated_texts/gemma3-12b__precise__prompt_standard.txt
gemma3:12b__precise__prompt_maxlength,gemma3:12b,precise,Precise,prompt_maxlength,0.7,0.9,1.05,35000,32768,7325,stop,125.69,39340,5591,266,89,1423,0.2545,0.8414,21.02,7.93,5.75,3.24,21,0.38,0.6716,6.77,0.0,20.31,generated_texts/gemma3-12b__precise__prompt_maxlength.txt
gemma3:12b__precise__prompt_detailed,gemma3:12b,precise,Precise,prompt_detailed,0.7,0.9,1.05,35000,32768,7691,stop,129.89,35339,4851,284,186,1325,0.2731,0.8471,17.07,8.18,5.63,1.72,17,0.35,0.678,4.93,4.93,18.64,generated_texts/gemma3-12b__precise__prompt_detailed.txt
qwen3:14b__std__prompt_standard,qwen3:14b,std,Standard,prompt_standard,0.9,0.95,1.0,96000,65536,20641,stop,111.8,92093,12697,560,339,1887,0.1486,0.7982,22.66,8.83,5.47,2.05,74,0.58,0.6264,13.21,0.36,28.25,generated_texts/qwen3-14b__std__prompt_standard.txt
